Source,Target,Weight
1,2,78
1,3,5
1,4,118
1,5,21
1,6,122
1,7,86
1,8,16
1,9,13
1,10,6
1,11,70
1,12,44
1,13,100
1,14,19
1,15,85
1,16,76
1,17,5
1,18,57
1,19,40
1,20,6
1,21,21
1,22,64
2,3,9
2,4,631
2,5,155
2,6,372
2,7,610
2,8,27
2,9,8
2,10,7
2,11,285
2,12,307
2,13,471
2,14,141
2,15,468
2,16,649
2,17,3
2,18,552
2,19,260
2,20,13
2,21,60
2,22,575
3,4,16
3,5,6
3,6,15
3,7,39
3,8,25
3,9,13
3,10,3
3,11,15
3,12,14
3,13,16
3,14,0
3,15,16
3,16,23
3,17,7
3,18,9
3,19,7
3,20,19
3,21,22
3,22,25
4,5,104
4,6,555
4,7,626
4,8,52
4,9,27
4,10,11
4,11,352
4,12,487
4,13,683
4,14,134
4,15,480
4,16,696
4,17,17
4,18,326
4,19,195
4,20,11
4,21,91
4,22,596
5,6,81
5,7,141
5,8,15
5,9,2
5,10,2
5,11,57
5,12,54
5,13,114
5,14,32
5,15,100
5,16,148
5,17,6
5,18,75
5,19,44
5,20,7
5,21,15
5,22,177
6,7,550
6,8,58
6,9,27
6,10,8
6,11,402
6,12,223
6,13,498
6,14,88
6,15,387
6,16,423
6,17,14
6,18,143
6,19,150
6,20,17
6,21,82
6,22,363
7,8,75
7,9,20
7,10,15
7,11,232
7,12,524
7,13,343
7,14,96
7,15,549
7,16,572
7,17,23
7,18,358
7,19,271
7,20,32
7,21,95
7,22,741
8,9,29
8,10,15
8,11,37
8,12,41
8,13,46
8,14,23
8,15,47
8,16,47
8,17,32
8,18,21
8,19,22
8,20,17
8,21,74
8,22,51
9,10,3
9,11,18
9,12,11
9,13,11
9,14,1
9,15,20
9,16,18
9,17,12
9,18,4
9,19,12
9,20,8
9,21,29
9,22,18
10,11,13
10,12,5
10,13,10
10,14,5
10,15,8
10,16,11
10,17,5
10,18,2
10,19,4
10,20,4
10,21,15
10,22,5
11,12,137
11,13,587
11,14,290
11,15,190
11,16,254
11,17,13
11,18,195
11,19,128
11,20,14
11,21,79
11,22,182
12,13,197
12,14,89
12,15,312
12,16,252
12,17,23
12,18,133
12,19,342
12,20,11
12,21,53
12,22,356
13,14,287
13,15,350
13,16,615
13,17,12
13,18,258
13,19,255
13,20,25
13,21,78
13,22,390
14,15,95
14,16,92
14,17,2
14,18,117
14,19,82
14,20,3
14,21,64
14,22,80
15,16,322
15,17,24
15,18,321
15,19,229
15,20,15
15,21,72
15,22,329
16,17,13
16,18,187
16,19,133
16,20,20
16,21,47
16,22,799
17,18,6
17,19,14
17,20,2
17,21,29
17,22,10
18,19,178
18,20,13
18,21,36
18,22,210
19,20,3
19,21,32
19,22,185
20,21,10
20,22,27
21,22,49
